"﻿Für inaktive Angebote und Kampagnen sind einige Angaben nicht verfügbar."
""
"Startdatum";"Enddatum";"Name der Kampagne";"Kampagnen-ID";"Startdatum der Kampagne";"Enddatum der Kampagne";"Status  ";"Artikelnr.";"Titel";"Angebotsformat";"Preis (aktueller oder zuletzt angegebener)";"Verfügbare Stückzahl";"Angebotsstart";"Angebotsende";"Anzeigen-Impressions (über Platzierungen bei eBay)";"Anzeigen-Klicks insgesamt";"Verkauft mit Anzeigen - Gesamtstückzahl";"Organisch verkauft - Stückzahl";"Verkauft - Gesamtstückzahl";"Anzeigen-Konversionsrate (Verkauft mit Anzeigen - Stückzahl/Anzeigen-Klicks)";"Anzeigen-Verteilung (Verkauft mit Anzeigen - Stückzahl/Verkauft - Gesamtstückzahl)";"Gesamtumsatz mit Anzeigen";"Anzeigengebühren (ohne MwSt.)";"Rentabilität der Anzeigenkosten (Umsatz/Anzeigengebühren (ohne MwSt.))";"Durchschn. Kosten pro Verkauf";"Anzeigen-Klicks (über Platzierungen bei eBay)";"Anzeigen-Klicks (über externe Platzierungen)";"Mit Anzeigen verkaufte Stückzahl (über Platzierungen bei eBay)";"Mit Anzeigen verkaufte Stückzahl (über externe Platzierungen)";"Anzeigen-Umsatz (über Platzierungen bei eBay)";"Anzeigen-Umsatz (über externe Platzierungen)";"Anzeigengebühren ohne MwSt. (über Platzierungen bei eBay)";"Anzeigengebühren ohne MwSt. (über externe Platzierungen)";"Anzeigen-Konversionsrate (über Platzierungen bei eBay)";"Anzeigen-Konversionsrate (über externe Platzierungen)";"Organische Klicks";"Organische Impressions"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284813387920";"Überwurfmutter Verbindungsnippel 1/4"" 3/8"" 1/2"" 5/8"" MESSING Bördel";"Festpreis";"4,90 €";"416";"13. Mai 2022";"13. Aug 2025";"91281";"124";"5";"10";"15";"4,03%";"33,33%";"32,70 €";"3,44 €";"9,51";"0,69 €";"124";"0";"5";"0";"32,70 €";"0,00 €";"3,44 €";"0,00 €";"4,03%";"0,00%";"77";"25901"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285787661516";"WC-Sitz clivia stehend abnehmb. ES Scharn.m.Absenkautom.weiss VIGOUR";"Festpreis";"69,00 €";"45";"28. Mär 2024";"14. Aug 2025";"64329";"184";"3";"1";"4";"1,63%";"75,00%";"207,00 €";"21,66 €";"9,56";"7,22 €";"167";"17";"2";"1";"138,00 €";"69,00 €";"13,59 €";"8,07 €";"1,20%";"5,88%";"64";"20887"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285685443820";"Waschtisch-Röhrensiphon  TrinnityViega PLUS 1 1/4""G 120mm Verstellrohr verchromt";"Festpreis";"19,50 €";"41";"04. Feb 2024";"04. Aug 2025";"20756";"69";"6";"1";"7";"8,70%";"85,71%";"116,22 €";"13,95 €";"8,33";"2,32 €";"66";"3";"6";"0";"116,22 €";"0,00 €";"13,95 €";"0,00 €";"9,09%";"0,00%";"50";"3738"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285768345558";"Wandkonsole Halterung KLIMA Split Klimagerät Klimaanlage Tragkraft 100-150kg";"Festpreis";"34,50 €";"207";"16. Mär 2024";"14. Aug 2025";"109110";"184";"11";"5";"16";"5,98%";"68,75%";"558,06 €";"44,64 €";"12,50";"4,06 €";"174";"10";"11";"0";"558,06 €";"0,00 €";"44,64 €";"0,00 €";"6,32%";"0,00%";"192";"23455"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286114698675";"Value Bördelwerkzeug VET-19-Li";"Festpreis";"359,99 €";"18";"18. Okt 2024";"14. Aug 2025";"283";"26";"1";"4";"5";"3,85%";"20,00%";"349,99 €";"21,00 €";"16,67";"21,00 €";"9";"17";"1";"0";"349,99 €";"0,00 €";"21,00 €";"0,00 €";"11,11%";"0,00%";"11";"169"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285890869369";"Univer. Füllventil (Unifill) Impuls380 für den Einbau in UP-Spülkästen 240705001";"Festpreis";"34,99 €";"57";"03. Jun 2024";"03. Aug 2025";"527875";"1604";"186";"11";"197";"11,60%";"94,42%";"5.665,94 €";"453,37 €";"12,50";"2,44 €";"1596";"8";"186";"0";"5.665,94 €";"0,00 €";"453,37 €";"0,00 €";"11,65%";"0,00%";"624";"176608"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286228852497";"Türrahmen Türring wie BOSCH 747527 ";"Festpreis";"22,50 €";"33";"23. Dez 2024";"14. Aug 2025";"2800";"10";"1";"1";"2";"10,00%";"50,00%";"22,50 €";"1,80 €";"12,50";"1,80 €";"10";"0";"1";"0";"22,50 €";"0,00 €";"1,80 €";"0,00 €";"10,00%";"0,00%";"31";"1639"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285674176940";"Türmanschette Gummi Waschmaschine wie Samsung DC64-03197A";"Festpreis";"45,90 €";"16";"28. Jan 2024";"14. Aug 2025";"62455";"149";"8";"2";"10";"5,37%";"80,00%";"339,68 €";"40,76 €";"8,33";"5,09 €";"141";"8";"6";"2";"254,76 €";"84,92 €";"30,57 €";"10,19 €";"4,26%";"25,00%";"70";"18833"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284577497710";"Trommelrippe Mitnehmer Rippe VESTEL OK OWM SEG 42097400 Wäschemitnehmer";"Festpreis";"7,95 €";"15";"21. Dez 2021";"14. Aug 2025";"18426";"33";"3";"7";"10";"9,09%";"30,00%";"23,85 €";"2,17 €";"10,99";"0,72 €";"22";"11";"3";"0";"23,85 €";"0,00 €";"2,17 €";"0,00 €";"13,64%";"0,00%";"15";"4451"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286109750228";"Solar Micro Inverter Wechselrichter 800W / 600W - Wifi drosselbar Balkonkraftwer";"Festpreis";"115,00 €";"47";"15. Okt 2024";"14. Aug 2025";"197795";"272";"1";"2";"3";"0,37%";"33,33%";"159,90 €";"17,59 €";"9,09";"17,59 €";"269";"3";"1";"0";"159,90 €";"0,00 €";"17,59 €";"0,00 €";"0,37%";"0,00%";"128";"64922"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285826859528";"Silikon Sanitär CARE Bad Fugendicht Fliese Abdichten 310ml UV-beständig";"Festpreis";"11,99 €";"353";"23. Apr 2024";"14. Aug 2025";"165359";"69";"17";"21";"38";"24,64%";"44,74%";"193,60 €";"15,50 €";"12,49";"0,91 €";"50";"19";"16";"1";"178,40 €";"15,20 €";"14,28 €";"1,22 €";"32,00%";"5,26%";"52";"7407"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285787726984";"Schnellentlüfter mit automatischem Absperrventil 3/8"" 1/2"" Entlüfter Heizung";"Festpreis";"11,85 €";"338";"28. Mär 2024";"14. Aug 2025";"679912";"1964";"261";"93";"354";"13,29%";"73,73%";"3.061,30 €";"244,97 €";"12,50";"0,94 €";"1960";"4";"261";"0";"3.061,30 €";"0,00 €";"244,97 €";"0,00 €";"13,32%";"0,00%";"1161";"382443"
