Start_Date,End_Date,Campaign_Name,Campaign_ID,Campaign_Start_Date,Campaign_End_Date,Status,Product_ID,Product_Title,Listing_Format,Current_Price,Available_Stock,Listing_Start,Listing_End,Ad_Impressions_eBay,Total_Ad_Clicks,Units_Sold_with_Ads_Total,Units_Sold_Organic,Total_Units_Sold,Ad_Conversion_Rate,Ad_Attribution_Rate,Total_Revenue_with_Ads,Ad_Spend_excl_VAT,ROAS,Avg_Cost_Per_Sale,Ad_Clicks_eBay,Ad_Clicks_External,Units_Sold_Ads_eBay,Units_Sold_Ads_External,Ad_Revenue_eBay,Ad_Revenue_External,Ad_Spend_eBay_excl_VAT,Ad_Spend_External_excl_VAT,Ad_Conversion_Rate_eBay,Ad_Conversion_Rate_External,Organic_Clicks,Organic_Impressions,CTR,CPC,Revenue_Per_Click,Ad_Efficiency,Has_Revenue,Has_Sales,Organic_Ratio
19. Aug 2024,17. Sep 2025,Standard-Kampagne,12546691015,20. Okt 2021,,Beendet/Entfernt,284813387920,Überwurfmutter Verbindungsnippel 1/4 3/8 1/2 5/8 MESSING Bördel,Festpreis,4.9,416.0,13. Mai 2022,13. Aug 2025,91281.0,124.0,5.0,10.0,15.0,4.03,33.33,32.7,3.44,9.51,0.69,124.0,0.0,5.0,0.0,32.7,0.0,3.44,0.0,4.03,0.0,77.0,25901.0,0.1358442611277265,0.027741935483870966,0.26370967741935486,9.505813953488373,1,1,66.66666666666666
19. Aug 2024,17. Sep 2025,Dynamische Kampagne 19.03.2023 16:44:34,13622038015,19. Mär 2023,,Beendet/Entfernt,285787661516,WC-Sitz clivia stehend abnehmb. ES Scharn.m.Absenkautom.weiss VIGOUR,Festpreis,69.0,45.0,28. Mär 2024,14. Aug 2025,64329.0,184.0,3.0,1.0,4.0,1.63,75.0,207.0,21.66,9.56,7.22,167.0,17.0,2.0,1.0,138.0,69.0,13.59,8.07,1.2,5.88,64.0,20887.0,0.28602962893873685,0.11771739130434783,1.125,9.556786703601109,1,1,25.0
19. Aug 2024,17. Sep 2025,Standard-Kampagne,12546691015,20. Okt 2021,,Beendet/Entfernt,285685443820,Waschtisch-Röhrensiphon  TrinnityViega PLUS 1 1/4G 120mm Verstellrohr verchromt,Festpreis,19.5,41.0,04. Feb 2024,04. Aug 2025,20756.0,69.0,6.0,1.0,7.0,8.7,85.71,116.22,13.95,8.33,2.32,66.0,3.0,6.0,0.0,116.22,0.0,13.95,0.0,9.09,0.0,50.0,3738.0,0.3324339949894007,0.20217391304347826,1.6843478260869564,8.331182795698926,1,1,14.285714285714285
19. Aug 2024,17. Sep 2025,Standard-Kampagne,12546691015,20. Okt 2021,,Beendet/Entfernt,285768345558,Wandkonsole Halterung KLIMA Split Klimagerät Klimaanlage Tragkraft 100-150kg,Festpreis,34.5,207.0,16. Mär 2024,14. Aug 2025,109110.0,184.0,11.0,5.0,16.0,5.98,68.75,558.06,44.64,12.5,4.06,174.0,10.0,11.0,0.0,558.06,0.0,44.64,0.0,6.32,0.0,192.0,23455.0,0.1686371551645129,0.2426086956521739,3.032934782608695,12.501344086021504,1,1,31.25
19. Aug 2024,17. Sep 2025,Dynamische Kampagne 19.03.2023 16:44:34,13622038015,19. Mär 2023,,Beendet/Entfernt,286114698675,Value Bördelwerkzeug VET-19-Li,Festpreis,359.99,18.0,18. Okt 2024,14. Aug 2025,283.0,26.0,1.0,4.0,5.0,3.85,20.0,349.99,21.0,16.67,21.0,9.0,17.0,1.0,0.0,349.99,0.0,21.0,0.0,11.11,0.0,11.0,169.0,9.187279151943462,0.8076923076923077,13.461153846153847,16.666190476190476,1,1,80.0
19. Aug 2024,17. Sep 2025,Dynamische Kampagne 19.03.2023 16:44:34,13622038015,19. Mär 2023,,Beendet/Entfernt,285890869369,Univer. Füllventil (Unifill) Impuls380 für den Einbau in UP-Spülkästen 240705001,Festpreis,34.99,57.0,03. Jun 2024,03. Aug 2025,527875.0,1604.0,186.0,11.0,197.0,11.6,94.42,0.0,453.37,12.5,2.44,1596.0,8.0,186.0,0.0,0.0,0.0,453.37,0.0,11.65,0.0,624.0,176608.0,0.3038598152971821,0.2826496259351621,0.0,0.0,0,1,5.583756345177665
19. Aug 2024,17. Sep 2025,Dynamische Kampagne 19.03.2023 16:44:34,13622038015,19. Mär 2023,,Beendet/Entfernt,286228852497,Türrahmen Türring wie BOSCH 747527 ,Festpreis,22.5,33.0,23. Dez 2024,14. Aug 2025,2800.0,10.0,1.0,1.0,2.0,10.0,50.0,22.5,1.8,12.5,1.8,10.0,0.0,1.0,0.0,22.5,0.0,1.8,0.0,10.0,0.0,31.0,1639.0,0.35714285714285715,0.18,2.25,12.5,1,1,50.0
19. Aug 2024,17. Sep 2025,Dynamische Kampagne 19.03.2023 16:44:34,13622038015,19. Mär 2023,,Beendet/Entfernt,285674176940,Türmanschette Gummi Waschmaschine wie Samsung DC64-03197A,Festpreis,45.9,16.0,28. Jan 2024,14. Aug 2025,62455.0,149.0,8.0,2.0,10.0,5.37,80.0,339.68,40.76,8.33,5.09,141.0,8.0,6.0,2.0,254.76,84.92,30.57,10.19,4.26,25.0,70.0,18833.0,0.23857177167560645,0.27355704697986577,2.279731543624161,8.333660451422965,1,1,20.0
19. Aug 2024,17. Sep 2025,Standard-Kampagne,12546691015,20. Okt 2021,,Beendet/Entfernt,284577497710,Trommelrippe Mitnehmer Rippe VESTEL OK OWM SEG 42097400 Wäschemitnehmer,Festpreis,7.95,15.0,21. Dez 2021,14. Aug 2025,18426.0,33.0,3.0,7.0,10.0,9.09,30.0,23.85,2.17,10.99,0.72,22.0,11.0,3.0,0.0,23.85,0.0,2.17,0.0,13.64,0.0,15.0,4451.0,0.17909475740801042,0.06575757575757575,0.7227272727272728,10.990783410138249,1,1,70.0
19. Aug 2024,17. Sep 2025,Dynamische Kampagne 19.03.2023 16:44:34,13622038015,19. Mär 2023,,Beendet/Entfernt,286109750228,Solar Micro Inverter Wechselrichter 800W / 600W - Wifi drosselbar Balkonkraftwer,Festpreis,115.0,47.0,15. Okt 2024,14. Aug 2025,197795.0,272.0,1.0,2.0,3.0,0.37,33.33,159.9,17.59,9.09,17.59,269.0,3.0,1.0,0.0,159.9,0.0,17.59,0.0,0.37,0.0,128.0,64922.0,0.13751611516974643,0.06466911764705882,0.5878676470588236,9.09039226833428,1,1,66.66666666666666
